M_S0,R_S0,M_C0,R_C0,M_I0,R_I0,SensorMassScalingFactor,SensorMassSpacingFactor,SensorReliabScalingFactor,CompMassScalingFactor,CompMassSpacingFactor,CompReliabScalingFactor,DissimilarComponentPenalty,M_SA,M_SB,M_SC,R_SA,R_SB,R_SC,M_CA,M_CB,M_CC,R_CA,R_CB,R_CC,NS,NC,NA,sensors,computers,Ibin_1,Ibin_2,Ibin_3,Ibin_4,Ibin_5,Ibin_6,Ibin_7,Ibin_8,Ibin_9,Inat_1,Inat_2,Inat_3,m,R,MTTF,Nlinks,Fields,N9
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,2,,110,130,48,49,49,49,,,,,,1,3,,28,0.999996053,253327.5979,3,,5.403683362
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,2,,110,130,49,48,48,49,,,,,,2,1,,28,0.999995753,235476.4336,2,,5.371948372
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,2,,110,130,49,49,48,49,,,,,,2,3,,28,0.999997251,363735.0642,3,,5.560785766
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,2,,110,130,49,48,49,49,,,,,,3,1,,28,0.999996053,253327.5979,3,,5.403683362
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,2,,110,130,49,49,49,48,,,,,,3,2,,28,0.999997251,363735.0642,3,,5.560785766
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,2,,110,130,49,49,49,49,,,,,,3,3,,28,0.99999755,408162.8403,4,,5.610833995
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,2,,110,220,48,49,49,49,,,,,,1,3,,16,0.999996991,332351.2878,3,,5.521598019
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,2,,110,220,49,48,48,49,,,,,,2,1,,16,0.999996392,277182.8458,2,,5.442767133
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,2,,110,220,49,49,48,49,,,,,,2,3,,16,0.999996991,332351.2877,3,,5.521598019
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,2,,110,220,49,48,49,49,,,,,,3,1,,16,0.999996991,332351.2878,3,,5.521598019
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,2,,110,220,49,49,49,49,,,,,,3,3,,16,0.99999759,414937.3213,4,,5.617983022
